,"male_female",,,,,,,,,,,,,"male",,,,,,,,,,,,,"female",,,,,,,,,,,,
," 1973"," 1976"," 1979"," 1982"," 1986"," 1989"," 1993"," 1997"," 2001"," 2004"," 2008"," 2010"," 2011"," 1973"," 1976"," 1979"," 1982"," 1986"," 1989"," 1993"," 1997"," 2001"," 2004"," 2008"," 2010"," 2011"," 1973"," 1976"," 1979"," 1982"," 1986"," 1989"," 1993"," 1997"," 2001"," 2004"," 2008"," 2010"," 2011"
"frequent_occasional_smoker","58","54","44","40","45","43","37","41","37","35","32","28","27","63","55","47","42","46","46","40","43","38","36","31","31","27","53","52","40","38","44","40","34","40","36","35","33","26","27"
"beer","48","48","38","34","39","37","31","26","22","22","22","19","21","64","65","51","47","58","53","50","41","34","35","34","29","34","30","30","25","21","20","20","11","11","10","8","9","8","8"
"wine_sparkWine","24","24","17","15","14","14","11","10","9","7","5","4","6","23","23","14","15","12","13","9","6","8","6","4","3","3","25","25","20","16","16","15","12","14","10","9","6","6","8"
"hard_liquor","20","16","9","7","5","5","7","5","4","5","4","4","4","25","22","13","9","8","8","11","8","6","7","6","6","7","14","10","5","4","3","2","2","3","3","3","3","1","2"
"mixed_liquor",,,,".","10","9","10","7","8","10","8","6","7",,,,,"12","11","13","8","11","12","10","8","10",,,,,"7","7","8","5","6","8","5","3","4"
"alcopop_with_beer",,,,,,,,,,"6","5","7","8",,,,,,,,,,"9","8","9","9",,,,,,,,,,"4","3","6","6"
"alcopop_with_liquor",,,,,,,,,,"6","2","1","1",,,,,,,,,,"7","2","1","1",,,,,,,,,,"5","1","1","1"
"experience_illegal_drugs","19","15","16","17","17","17","18","23","27","32","29",,,"24","17","19","20","20","20","23","25","30","36","33",,,"14","13","13","15","14","14","12","20","24","27","25",,
